"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"S4: Moderate Narrow (5x)","Non-Multinomial",100,0.197036088978374,0.159832627263432,0.0915073880378273,0.0414450450061315,0.037203461714942,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",500,0.186667858646622,0.146659746954563,0.0915073880378273,0.0414450450061315,0.0400081116920585,0.0500623430316957
"S5: Extreme Narrow (20x)","Multinomial",1,0.942610844265342,0.942825451173432,0.47135516002367,0.471335332749495,-0.000214606908090107,1.98272741750993e-05
"S5: Extreme Narrow (20x)","Multinomial",2,0.717631800372589,0.71190530426141,0.359114720448859,0.351909435019008,0.00572649611117872,0.00720528542985133
"S5: Extreme Narrow (20x)","Multinomial",3,0.603839972884896,0.594701374506754,0.303211328623493,0.289877473822611,0.00913859837814142,0.0133338548008821
"S5: Extreme Narrow (20x)","Multinomial",4,0.533504065962379,0.521808443713092,0.268567505772209,0.25438067339276,0.0116956222492867,0.0141868323794488
"S5: Extreme Narrow (20x)","Multinomial",5,0.486199000508931,0.47260710077438,0.244273569368205,0.227435100899222,0.0135918997345502,0.0168384684689834
"S5: Extreme Narrow (20x)","Multinomial",10,0.368780532704136,0.348569985209653,0.185586606662065,0.162626644069383,0.0202105474944827,0.0229599625926818
"S5: Extreme Narrow (20x)","Multinomial",25,0.273584640984127,0.243864715397244,0.136654139956767,0.10435161136015,0.0297199255868837,0.0323025285966173
"S5: Extreme Narrow (20x)","Multinomial",50,0.233498532568911,0.19710388390819,0.116485825394892,0.0753005691662265,0.0363946486607208,0.0411852562286655
"S5: Extreme Narrow (20x)","Multinomial",100,0.210743977722877,0.169093935690086,0.105051994288864,0.0546469132393936,0.0416500420327904,0.0504050810494708
"S5: Extreme Narrow (20x)","Multinomial",500,0.190059220438488,0.142038581522981,0.0949004981824929,0.0309377509782233,0.0480206389155068,0.0639627472042696
"S5: Extreme Narrow (20x)","Non-Multinomial",1,0.822784637929145,0.816821211035446,0.09174205253807,0.0208589216097932,0.00596342689369916,0.0708831309282768
