"scenario_label","method_label","n_counts","mean_es_correct","mean_es_incorrect","mean_es_diff","prop_correct_wins"
"S5: Extreme Narrow (α=200,200,200)","Multinomial",500,0.0951587222559946,0.111100830544757,-0.0159421082887628,0.7561
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",1,0.731042585391075,0.795962289425653,-0.0649197040345777,1
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",2,0.472607282958124,0.532830021757076,-0.0602227387989518,1
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",3,0.365747693446115,0.408360886677155,-0.0426131932310395,0.7991
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",4,0.315789197297098,0.3699112568408,-0.0541220595437024,1
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",5,0.282081264159741,0.333247682108577,-0.051166417948836,1
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",10,0.201463908054342,0.244617180766084,-0.0431532727117418,0.9678
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",25,0.141884594545663,0.176110660956445,-0.0342260664107816,0.9088
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",50,0.118869931224296,0.14800098139723,-0.0291310501729335,0.8738
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",100,0.10656009650579,0.132148786094377,-0.0255886895885867,0.8415
"S5: Extreme Narrow (α=200,200,200)","Non-Multinomial",500,0.0955780929649576,0.117456212156739,-0.0218781191917818,0.8132
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",1,0.470989774346597,0.475299028240051,-0.00430925389345415,0.529
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",2,0.360166927164084,0.40298006874472,-0.0428131415806364,0.682
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",3,0.301479842120044,0.367385067762559,-0.0659052256425152,0.876
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",4,0.265851967404603,0.344998301767185,-0.0791463343625821,0.859
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",5,0.246270608705062,0.334007244844993,-0.0877366361399314,0.872
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",10,0.186672988809019,0.305294506529286,-0.118621517720267,0.953
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",25,0.139314853841038,0.287541315281919,-0.148226461440881,0.984
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",50,0.118750943742264,0.28168148219241,-0.162930538450146,0.99
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",100,0.107466042643297,0.278935906734137,-0.17146986409084,0.995
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Multinomial",500,0.097343591226463,0.276699082316381,-0.179355491089918,0.999
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",1,0.731730259619936,0.48922383840681,0.242506421213127,0
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",2,0.473104779649183,0.392649029984043,0.0804557496651396,0.403
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",3,0.364222149179871,0.355751673772572,0.00847047540729855,0.309
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",4,0.314587970865936,0.335339209960796,-0.0207512390948602,0.567
"S6: Ultra Dispersed (α=0.1,0.1,0.1)","Non-Multinomial",5,0.287663636808177,0.326092424937702,-0.0384287881295255,0.644
