"scenario_short","alpha_type","n_counts","method","alpha_true","alpha_wrong","discrimination_pct","mean_es_diff","mean_term1_diff","mean_term2_diff","term2_contrib_ratio"
"scenario2_moderate_dispersed","symmetric",10,"mn","10_10_10","2_2_2",60.46,-0.0032,-0.0678,-0.0646,0.49
"scenario2_moderate_dispersed","symmetric",25,"mn","10_10_10","2_2_2",65.96,-0.0079,-0.0909,-0.083,0.48
"scenario2_moderate_dispersed","symmetric",50,"mn","10_10_10","2_2_2",70.24,-0.0117,-0.1037,-0.092,0.47
"scenario2_moderate_dispersed","symmetric",100,"mn","10_10_10","2_2_2",73.66,-0.0149,-0.1122,-0.0973,0.46
"scenario2_moderate_dispersed","symmetric",500,"mn","10_10_10","2_2_2",76.43,-0.0175,-0.1206,-0.1031,0.46
"scenario2_moderate_dispersed","symmetric",1,"non-mn","10_10_10","2_2_2",0.04,0.0833,-0.0204,-0.1037,0.84
"scenario2_moderate_dispersed","symmetric",2,"non-mn","10_10_10","2_2_2",0.57,0.0616,-0.0421,-0.1037,0.71
"scenario2_moderate_dispersed","symmetric",3,"non-mn","10_10_10","2_2_2",19.86,0.0429,-0.0608,-0.1037,0.63
"scenario2_moderate_dispersed","symmetric",4,"non-mn","10_10_10","2_2_2",16.99,0.0394,-0.0644,-0.1037,0.62
"scenario2_moderate_dispersed","symmetric",5,"non-mn","10_10_10","2_2_2",24.59,0.0336,-0.0701,-0.1037,0.6
"scenario2_moderate_dispersed","symmetric",10,"non-mn","10_10_10","2_2_2",34.95,0.0169,-0.0869,-0.1037,0.54
"scenario2_moderate_dispersed","symmetric",25,"non-mn","10_10_10","2_2_2",53.54,-4e-04,-0.1042,-0.1037,0.5
"scenario2_moderate_dispersed","symmetric",50,"non-mn","10_10_10","2_2_2",63.83,-0.0087,-0.1124,-0.1037,0.48
"scenario2_moderate_dispersed","symmetric",100,"non-mn","10_10_10","2_2_2",70.29,-0.0136,-0.1173,-0.1037,0.47
"scenario2_moderate_dispersed","symmetric",500,"non-mn","10_10_10","2_2_2",76.47,-0.018,-0.1218,-0.1037,0.46
"scenario3_extreme_dispersed","symmetric",1,"mn","10_10_10","0.5_0.5_0.5",50.48,-4e-04,-5e-04,-1e-04,0.13
"scenario3_extreme_dispersed","symmetric",2,"mn","10_10_10","0.5_0.5_0.5",67.03,-0.0101,-0.0706,-0.0605,0.46
"scenario3_extreme_dispersed","symmetric",3,"mn","10_10_10","0.5_0.5_0.5",69.95,-0.0194,-0.108,-0.0886,0.45
"scenario3_extreme_dispersed","symmetric",4,"mn","10_10_10","0.5_0.5_0.5",69.83,-0.0233,-0.133,-0.1097,0.45
"scenario3_extreme_dispersed","symmetric",5,"mn","10_10_10","0.5_0.5_0.5",73.31,-0.0257,-0.1521,-0.1264,0.45
"scenario3_extreme_dispersed","symmetric",10,"mn","10_10_10","0.5_0.5_0.5",81.64,-0.0411,-0.2039,-0.1628,0.44
"scenario3_extreme_dispersed","symmetric",25,"mn","10_10_10","0.5_0.5_0.5",89.45,-0.0589,-0.2557,-0.1968,0.43
"scenario3_extreme_dispersed","symmetric",50,"mn","10_10_10","0.5_0.5_0.5",93.06,-0.0687,-0.2809,-0.2121,0.43
"scenario3_extreme_dispersed","symmetric",100,"mn","10_10_10","0.5_0.5_0.5",94.76,-0.0743,-0.2966,-0.2223,0.43
"scenario3_extreme_dispersed","symmetric",500,"mn","10_10_10","0.5_0.5_0.5",96.68,-0.0808,-0.3111,-0.2303,0.43
"scenario3_extreme_dispersed","symmetric",1,"non-mn","10_10_10","0.5_0.5_0.5",0.01,0.1746,-0.0581,-0.2327,0.8
"scenario3_extreme_dispersed","symmetric",2,"non-mn","10_10_10","0.5_0.5_0.5",2.46,0.0946,-0.138,-0.2327,0.63
"scenario3_extreme_dispersed","symmetric",3,"non-mn","10_10_10","0.5_0.5_0.5",20.47,0.0532,-0.1795,-0.2327,0.56
"scenario3_extreme_dispersed","symmetric",4,"non-mn","10_10_10","0.5_0.5_0.5",40,0.0378,-0.1949,-0.2327,0.54
"scenario3_extreme_dispersed","symmetric",5,"non-mn","10_10_10","0.5_0.5_0.5",38,0.0228,-0.2098,-0.2327,0.53
"scenario3_extreme_dispersed","symmetric",10,"non-mn","10_10_10","0.5_0.5_0.5",59.66,-0.0153,-0.248,-0.2327,0.48
"scenario3_extreme_dispersed","symmetric",25,"non-mn","10_10_10","0.5_0.5_0.5",81.06,-0.0494,-0.282,-0.2327,0.45
"scenario3_extreme_dispersed","symmetric",50,"non-mn","10_10_10","0.5_0.5_0.5",89.62,-0.0641,-0.2968,-0.2327,0.44
"scenario3_extreme_dispersed","symmetric",100,"non-mn","10_10_10","0.5_0.5_0.5",93.45,-0.0729,-0.3056,-0.2327,0.43
"scenario3_extreme_dispersed","symmetric",500,"non-mn","10_10_10","0.5_0.5_0.5",96.48,-0.0803,-0.313,-0.2327,0.43
"scenario4_moderate_narrow","symmetric",1,"mn","10_10_10","50_50_50",49.63,-1e-04,-2e-04,-1e-04,0.37
